reportDate	color	count
2010-03-31	total	808
2010-03-31	1200_green	168
2010-03-31	1600_blue	182
2010-03-31	1400_cyan	458
2010-06-30	total	2108
2010-06-30	1900_violet	35
2010-06-30	1200_green	544
2010-06-30	1600_blue	474
2010-06-30	2100_orange	5
2010-06-30	1400_cyan	1021
2010-06-30	0000_gray	29
2010-09-30	total	2819
2010-09-30	1900_violet	67
2010-09-30	1200_green	833
2010-09-30	1600_blue	684
2010-09-30	2100_orange	11
2010-09-30	1400_cyan	1156
2010-09-30	0000_gray	68
2010-12-30	total	3555
2010-12-30	1900_violet	128
2010-12-30	1200_green	1117
2010-12-30	1600_blue	881
2010-12-30	2100_orange	29
2010-12-30	1400_cyan	1266
2010-12-30	0000_gray	134
2011-03-30	total	4631
2011-03-30	1900_violet	202
2011-03-30	2600_red	1
2011-03-30	1200_green	1360
2011-03-30	1600_blue	1112
2011-03-30	2100_orange	61
2011-03-30	1400_cyan	1676
2011-03-30	0000_gray	219
2011-06-30	total	5280
2011-06-30	1900_violet	255
2011-06-30	2600_red	12
2011-06-30	1200_green	1472
2011-06-30	1600_blue	1135
2011-06-30	2100_orange	116
2011-06-30	1400_cyan	2095
2011-06-30	0000_gray	195
2011-09-30	total	5946
2011-09-30	1900_violet	322
2011-09-30	2600_red	14
2011-09-30	1200_green	1457
2011-09-30	1600_blue	1369
2011-09-30	2100_orange	157
2011-09-30	1400_cyan	2470
2011-09-30	0000_gray	157
2011-12-30	total	6850
2011-12-30	1900_violet	289
2011-12-30	2600_red	25
2011-12-30	1200_green	1630
2011-12-30	1600_blue	1595
2011-12-30	2100_orange	172
2011-12-30	1400_cyan	2937
2011-12-30	0000_gray	202
2012-03-30	total	8966
2012-03-30	1900_violet	355
2012-03-30	2600_red	31
2012-03-30	1200_green	2672
2012-03-30	1600_blue	1825
2012-03-30	2100_orange	201
2012-03-30	1400_cyan	3468
2012-03-30	0000_gray	414
2012-06-30	total	9390
2012-06-30	1900_violet	347
2012-06-30	2600_red	25
2012-06-30	1200_green	2766
2012-06-30	1600_blue	1856
2012-06-30	2100_orange	195
2012-06-30	1400_cyan	3642
2012-06-30	0000_gray	559
2012-09-30	total	9207
2012-09-30	1900_violet	298
2012-09-30	2600_red	25
2012-09-30	1200_green	2515
2012-09-30	1600_blue	2038
2012-09-30	2100_orange	194
2012-09-30	1400_cyan	3543
2012-09-30	0000_gray	594
2012-12-30	total	11128
